"Neighborhood","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","Heating","HeatingQC","CentralAir","Electrical","X2ndFlrSF","LowQualFinSF","BedroomAbvGr","KitchenAbvGr","KitchenQual","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","YrSold","SaleType","SaleCondition","SalePrice","PercOfWhiteCollar","MedianIncome","CollegeDegree","Remod","Age","isnew","TotalSqFeet","TotBathrooms","TotalPorchSF"
"CollgCr","2-STORY+","RL",65,8450,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","2Story",7,5,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",196,2,"PConc",4,3,1,6,706,1,0,150,"GasA",4,1,"SBrkr",854,0,3,1,3,7,0,0,"Attchd",2,2,3,3,2,0,61,0,0,0,0,0,"None","None",0,2008,"WD","Normal",208500,0.91,39359,0.91,0,5,0,2566,3.5,61
"Veenker","1-STORY 1946+","RL",80,9600,"Pave","None",2,"Lvl","FR2",2,"Feedr","Norm","1Fam","1Story",6,8,1976,"Gable","CompShg","MetalSd","MetalSd","None",0,2,"CBlock",4,3,4,5,978,1,0,284,"GasA",4,1,"SBrkr",0,0,3,1,2,7,1,3,"Attchd",2,2,3,3,2,298,0,0,0,0,0,0,"None","None",0,2007,"WD","Normal",181500,0.75,85268,0.81,0,31,0,2524,2.5,0
"CollgCr","2-STORY+","RL",68,11250,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","2Story",7,5,2001,"Gable","CompShg","VinylSd","VinylSd","BrkFace",162,2,"PConc",4,3,2,6,486,1,0,434,"GasA",4,1,"SBrkr",866,0,3,1,3,7,1,3,"Attchd",2,2,3,3,2,0,42,0,0,0,0,0,"None","None",0,2008,"WD","Normal",223500,0.91,39359,0.91,1,6,0,2706,3.5,42
"Crawfor","2-STORY 1945-","RL",60,9550,"Pave","None",2,"Lvl","Corner",2,"Norm","Norm","1Fam","2Story",7,5,1915,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,2,"BrkTil",3,4,1,5,216,1,0,540,"GasA",3,1,"SBrkr",756,0,3,1,3,7,1,4,"Detchd",1,3,3,3,2,0,35,272,0,0,0,0,"None","None",0,2006,"WD","Abnorml",140000,0.85,86452,0.84,1,36,0,2473,2,307
"NoRidge","2-STORY+","RL",84,14260,"Pave","None",2,"Lvl","FR2",2,"Norm","Norm","1Fam","2Story",8,5,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,2,"PConc",4,3,3,6,655,1,0,490,"GasA",4,1,"SBrkr",1053,0,4,1,3,7,1,3,"Attchd",2,3,3,3,2,192,84,0,0,0,0,0,"None","None",0,2008,"WD","Normal",250000,0.85,121583,0.89,0,8,0,3343,3.5,84
"Mitchel","1/2 STORY Fin","RL",85,14115,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1.5Fin",5,5,1993,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"Wood",4,3,1,6,732,1,0,64,"GasA",4,1,"SBrkr",566,0,1,1,2,7,0,0,"Attchd",1,2,3,3,2,40,30,0,320,0,0,0,"MnPrv","Shed",700,2009,"WD","Normal",143000,0.75,73557,0.62,1,14,0,2158,2.5,350
"Somerst","1-STORY 1946+","RL",75,10084,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",8,5,2004,"Gable","CompShg","VinylSd","VinylSd","Stone",186,2,"PConc",5,3,3,6,1369,1,0,317,"GasA",4,1,"SBrkr",0,0,3,1,3,7,1,4,"Attchd",2,2,3,3,2,255,57,0,0,0,0,0,"None","None",0,2007,"WD","Normal",307000,0.75,95487,0.75,1,2,0,3380,3,57
"NWAmes","2-STORY+","RL",80,10382,"Pave","None",2,"Lvl","Corner",2,"PosN","Norm","1Fam","2Story",7,6,1973,"Gable","CompShg","HdBoard","HdBoard","Stone",240,2,"CBlock",4,3,2,5,859,4,32,216,"GasA",4,1,"SBrkr",983,0,3,1,2,7,2,3,"Attchd",2,2,3,3,2,235,204,228,0,0,0,0,"None","Shed",350,2009,"WD","Normal",200000,0.89,87636,0.86,0,36,0,3197,3.5,432
"OldTown","1/2 STORY Fin","RM",51,6120,"Pave","None",2,"Lvl","Inside",2,"Artery","Norm","1Fam","1.5Fin",7,5,1931,"Gable","CompShg","BrkFace","Wd Shng","None",0,2,"BrkTil",3,3,1,1,0,1,0,952,"GasA",3,1,"FuseF",752,0,2,2,2,6,2,3,"Detchd",1,2,2,3,2,90,0,205,0,0,0,0,"None","None",0,2008,"WD","Abnorml",129900,0.84,41223,0.85,1,58,0,2726,2,205
"BrkSide","190","RL",50,7420,"Pave","None",2,"Lvl","Corner",2,"Artery","Artery","2fmCon","1.5Unf",5,6,1939,"Gable","CompShg","MetalSd","MetalSd","None",0,2,"BrkTil",3,3,1,6,851,1,0,140,"GasA",4,1,"SBrkr",0,0,2,2,2,7,2,3,"Attchd",2,1,4,3,2,0,4,0,0,0,0,0,"None","None",0,2008,"WD","Normal",118000,0.74,46530,0.72,1,58,0,2068,2,4
